,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
PRANCR,46.8411029304162,-1.07229643536013,0.285622944682679,-3.75423772957536,0.000173869788793899,0.00512603536004049
PRKCQ-AS1,45.2292481960389,-1.03124386816131,0.29086921605801,-3.54538676226103,0.000392037392214287,0.00817879703630102
PROK2,9.23314746374136,1.44224186042108,0.526767278981057,2.73791087254101,0.00618308303280815,0.049379414942467
PRR18,317.849288668721,-1.16326218452473,0.270382025321582,-4.30229111251457,1.69041011019116e-05,0.00149959174369841
PRR29,17.297630480746,1.26444991984423,0.419235207677293,3.01608714318083,0.00256059657959093,0.0277689366951893
PRRG1,243.150020734937,-1.007953820006,0.25035692984245,-4.02606718591857,5.67174895234793e-05,0.00276483722444406
PTK7,11.0918445151181,1.52520866343918,0.52615508834725,2.89878155170968,0.00374615796123761,0.0354355595046174
PWWP2B,13.4504004789648,1.75340794544169,0.518173956858185,3.38382105513954,0.000714845766483876,0.0122783494124841
PXK,1566.77525568471,-1.00165609688498,0.251108733999131,-3.9889337217894,6.63709610264827e-05,0.00296355695061399
PYGM,32.6268148783433,1.17007978897263,0.355724595605593,3.28928559741746,0.00100442048230623,0.0151219019411056
RAB33A,41.2161770284467,-1.24368242630033,0.34815814313617,-3.57217675593447,0.00035402632485274,0.00771803821824441
RARG,28.5686707561858,1.02345285059702,0.313127684052123,3.26848408084753,0.00108125259780363,0.0160094781838964
RASGRP3,179.453836558618,-1.28490514820051,0.308998557228585,-4.15828850375503,3.20640907240586e-05,0.00205022793090782
RASSF2,660.906452362075,-1.0055178404196,0.245252324342681,-4.09993195014386,4.13271640058415e-05,0.00242009896040271
RASSF9,39.4698315479744,1.01974552643355,0.313981722491722,3.24778626711444,0.0011630660125023,0.0167682445462813
RBM47,21.5823802021726,1.49351065082857,0.390046463734703,3.82905830379327,0.000128634532179968,0.00426258234096256
RBP7,65.0450846351891,-1.22083197943187,0.344403530294417,-3.54477196673399,0.000392952882720855,0.00818056455846143
RGCC,94.704930064741,-1.00107633646162,0.215563345734143,-4.64400073700964,3.41726340373416e-06,0.000604770379419479
RGS22,59.8315169010323,1.49186383162921,0.331923324709256,4.49460378518439,6.9699603017363e-06,0.000903068409094702
RIBC2,18.5667827155219,2.28105316266338,0.591460023771278,3.85664807592386,0.000114952474200848,0.00394403140576916
RMST,30.8538226258974,1.28984578590457,0.369609035610649,3.48975718024197,0.000483459616365049,0.0095787260409389
RNASE1,593.551577763659,-1.03951058437879,0.305796789481883,-3.39935087657412,0.000675460022508652,0.0119198115441625
RND3,58.8865740390491,1.23434638568038,0.308564343551048,4.00028846974075,6.32653162557364e-05,0.00291109144472073
RPE65,11.8298315856445,1.59829069481447,0.563408931039088,2.83682172355124,0.00455650462739185,0.0405677224827555
RPGR,126.109098928003,1.14250885343553,0.244434693234242,4.67408631041038,2.95265148486262e-06,0.000570093317087102
RPL19P12,28.4673290997865,-1.1566848033076,0.390291950886586,-2.9636399128398,0.00304023817207365,0.0308949693296276
RSPH1,57.4826733459262,1.32783383437238,0.401126326577206,3.31026349156071,0.00093208184161037,0.0144766717576298
RSPH4A,31.4637615245248,1.46460172648471,0.354716058655168,4.12894113685588,3.64437679766886e-05,0.00224288614541533
RTKN,133.375350116979,-1.04361874690263,0.303215415497619,-3.44183934444725,0.000577773280808456,0.0107548837355782
S100A10,244.076872850008,1.04115922010963,0.264928803260447,3.92995856734417,8.49605002188741e-05,0.00335986363716969
S100A4,21.5264618617241,1.36104825988929,0.406077721014533,3.35169399712175,0.000803187431164555,0.0132257301583234
S1PR5,95.4616068273649,-1.10861620583992,0.311196608740321,-3.56243022803956,0.000367437580706622,0.00787488865659861
SEC14L5,186.563882402398,-1.21086004344597,0.299308332699455,-4.04552734140493,5.22054718774363e-05,0.00263624246962623
SEMA5B,12.2205722961292,1.26202672762001,0.406229111510482,3.10668706860376,0.00189196560181395,0.0228626325995174
SERPING1,168.855933009541,1.00684039229118,0.245644523525466,4.09876995359435,4.15351603846917e-05,0.00242009896040271
SFRP2,54.5461376073511,1.43572803286322,0.291021854386205,4.93340280540551,8.08092626611948e-07,0.000306049542086456
SFRP4,17.1561206898123,1.42520555413308,0.521161316651312,2.73467256413166,0.00624423558969267,0.0496263017366455
SFT2D1,16.6235144917488,-1.13249425729185,0.406143555021159,-2.7884087862304,0.00529676608415327,0.0451187332445132
SGK2,85.4128990457185,-1.04733543609936,0.298931821641997,-3.50359299437068,0.000459026349618377,0.00917672947574898
SH3GL3,679.536323235038,-1.05470668133748,0.251528011417669,-4.19319770944362,2.75049522598293e-05,0.00181772661008416
